"Item","Form","RetailPrice","RetailPriceUnit","Yield","CupEquivalentSize","CupEquivalentUnit","CupEquivalentPrice"
"Peaches, packed in juice","Canned",2.0237,"per pound",1,0.5401,"pounds",1.0931
"Peaches, packed in syrup or water","Canned",1.8117,"per pound",0.65,0.4409,"pounds",1.229
"Pears","Fresh",1.5865,"per pound",0.9,0.3638,"pounds",0.6412
"Pears, packed in juice","Canned",1.9546,"per pound",1,0.5401,"pounds",1.0557
"Pears, packed in syrup or water","Canned",1.897,"per pound",0.65,0.4409,"pounds",1.2868
"Pineapple","Fresh",0.5685,"per pound",0.51,0.3638,"pounds",0.4055
"Pineapple","Dried",6.6492,"per pound",1,0.1543,"pounds",1.0261
"Pineapple, frozen concentrate","Juice",0.6973,"per pint",1,8,"fluid ounces",0.3486
"Pineapple, packed in juice","Canned",1.4344,"per pound",1,0.5401,"pounds",0.7748
"Pineapple, packed in syrup or water","Canned",1.4067,"per pound",0.65,0.4409,"pounds",0.9543
"Pineapple, ready-to-drink","Juice",1.0288,"per pint",1,8,"fluid ounces",0.5144
"Pinto beans","Canned",0.8742,"per pound",0.65,0.3858,"pounds",0.5189
"Pinto beans","Dried",1.2933,"per pound",2.4692,0.3858,"pounds",0.2021
"Plum","Fresh",2.0292,"per pound",0.94,0.3638,"pounds",0.7852
"Plum (prune), ready-to-drink","Juice",1.5522,"per pint",1,8,"fluid ounces",0.7761
"Plum (prunes)","Dried",5.7042,"per pound",1,0.1874,"pounds",1.0689
"Pomegranate","Fresh",2.235,"per pound",0.56,0.3417,"pounds",1.3638
"Pomegranate, ready-to-drink","Juice",3.122,"per pint",1,8,"fluid ounces",1.561
"Potatoes","Fresh",0.6682,"per pound",0.8113,0.2646,"pounds",0.2179
"Potatoes","Canned",1.107,"per pound",0.65,0.3417,"pounds",0.582
"Potatoes, french fries","Frozen",1.5371,"per pound",0.776,0.3417,"pounds",0.6769
"Pumpkin","Canned",2.0172,"per pound",1,0.5401,"pounds",1.0896
"Radish","Fresh",1.577,"per pound",0.9,0.2756,"pounds",0.4829
"Raspberries","Fresh",6.6391,"per pound",0.96,0.3197,"pounds",2.2107
"Raspberries","Frozen",4.1877,"per pound",1,0.3307,"pounds",1.3849
"Red peppers","Fresh",2.1614,"per pound",0.82,0.2646,"pounds",0.6973
"Spinach","Canned",1.3154,"per pound",0.65,0.3748,"pounds",0.7585
"Spinach","Frozen",2.133,"per pound",0.776,0.3748,"pounds",1.0302
"Spinach, boiled","Fresh",2.994,"per pound",0.77,0.3307,"pounds",1.2859
"Spinach, eaten raw","Fresh",2.994,"per pound",1,0.1543,"pounds",0.4621
"Strawberries","Fresh",2.58,"per pound",0.94,0.3197,"pounds",0.8774
"Strawberries","Frozen",2.8189,"per pound",1,0.3307,"pounds",0.9322
"Sweet potatoes","Fresh",1.1198,"per pound",0.8818,0.4409,"pounds",0.5599
"Tomatoes","Canned",1.0175,"per pound",1,0.5401,"pounds",0.5496
"Tomatoes, grape & cherry","Fresh",4.1458,"per pound",0.91,0.3748,"pounds",1.7075
"Tomatoes, large round","Fresh",2.3347,"per pound",0.91,0.3748,"pounds",0.9616
"Tomatoes, roma & plum","Fresh",1.1618,"per pound",0.91,0.3748,"pounds",0.4785
"Turnip greens","Fresh",2.4176,"per pound",0.75,0.3197,"pounds",1.0304
"Turnip greens","Canned",1.0429,"per pound",0.65,0.3527,"pounds",0.566
"Turnip greens","Frozen",1.9451,"per pound",0.776,0.3527,"pounds",0.8841
"Watermelon","Fresh",0.3604,"per pound",0.52,0.3307,"pounds",0.2292
"Zucchini","Fresh",1.5489,"per pound",0.7695,0.3968,"pounds",0.7987
